Club ID,Grade,Number of School Days,Number of Texas ACE Days,Math,English/Reading
SBE002201,1,174,121,C,D
SBE002202,1,174,102,D,B
SBE002203,1,174,115,D,B
SBE002204,1,174,18,A,B
SBE002205,1,174,117,B,C
SBE002206,1,174,137,C,B
SBE002207,1,174,94,A,A
SBE002208,1,174,55,B,C
SBE002209,1,174,138,A,B
SBE002210,2,174,90,B,B
SBE002211,2,174,117,C,C
SBE002212,2,174,87,B,B
SBE002213,2,174,69,B,B
SBE002214,2,174,102,A,C
SBE002215,2,174,133,A,B
SBE002216,2,174,97,D,C
SBE002217,2,174,120,C,C
SBE002218,2,174,103,B,A
SBE002219,2,174,138,A,C
SBE002220,2,174,122,C,B
SBE002221,2,174,129,C,C
SBE002222,2,174,52,D,B
SBE002223,2,174,21,F,B
SBE002224,2,174,55,B,A
SBE002225,2,174,109,A,A
SBE002226,3,174,133,C,B
SBE002227,3,174,135,B,C
SBE002228,3,174,70,D,F
SBE002229,3,174,142,F,B
SBE002230,3,174,115,B,A
SBE002231,3,174,84,A,B
SBE002232,3,174,141,A,B
SBE002233,3,174,140,A,C
SBE002234,3,174,126,B,B
SBE002235,3,174,93,B,C
SBE002236,3,174,63,C,D
SBE002237,3,174,69,C,A
SBE002238,3,174,69,D,D
SBE002239,3,174,119,B,B
SBE002240,3,174,128,A,B
SBE002241,3,174,103,F,D
SBE002242,3,174,114,D,C
SBE002243,3,174,101,C,F
SBE002244,3,174,18,D,D
SBE002245,3,174,80,C,F
SBE002246,3,174,143,C,C
SBE002247,4,174,133,F,D
SBE002248,4,174,119,D,C
SBE002249,4,174,69,B,A
SBE002250,4,174,113,A,B
SBE002251,4,174,140,D,F
SBE002252,4,174,90,C,F
SBE002253,4,174,67,C,D
SBE002254,4,174,69,B,A
SBE002255,4,174,69,B,B
SBE002256,4,174,89,B,C
SBE002257,4,174,139,A,C
SBE002258,4,174,3,A,B
SBE002259,4,174,75,C,A
SBE002260,4,174,112,A,A
SBE002261,4,174,69,D,F
SBE002262,4,174,100,A,B
SBE002263,4,174,74,C,D
SBE002264,4,174,67,C,D
SBE002265,4,174,88,A,B
SBE002266,4,174,12,D,C
SBE002267,4,174,138,B,B
SBE002268,4,174,136,F,D
SBE002269,4,174,69,C,D
SBE002270,4,174,69,C,C
SBE002271,4,174,69,D,F
SBE002272,4,174,90,B,B
SBE002273,4,174,64,B,A
SBE002274,4,174,136,A,B
SBE002275,4,174,77,B,A
SBE002276,4,174,141,B,C
SBE002277,4,174,90,B,C
SBE002278,4,174,84,D,C
SBE002279,4,174,69,A,A
SBE002280,4,174,18,B,B
SBE002281,4,174,122,D,C
SBE002282,5,174,89,A,B
SBE002283,5,174,94,C,F
SBE002284,5,174,90,C,D
SBE002285,5,174,142,A,B
SBE002286,5,174,91,D,C
SBE002287,5,174,122,A,A
SBE002288,5,174,89,C,C
SBE002289,5,174,104,C,C
SBE002290,5,174,21,B,C
SBE002291,5,174,88,F,D
SBE002292,5,174,89,F,F
SBE002293,5,174,122,D,F
SBE002294,5,174,73,A,B
SBE002295,5,174,90,A,C
SBE002296,5,174,78,D,D
SBE002297,5,174,49,C,C
SBE002298,5,174,123,C,A
SBE002299,5,174,75,C,B
SBE002300,5,174,118,D,B
SBE002301,5,174,116,A,D
SBE002302,5,174,87,B,C
SBE002303,5,174,21,F,D
SBE002304,5,174,141,C,C
SBE002305,5,174,28,A,B
SBE002306,5,174,95,A,A
SBE002307,5,174,60,A,C
SBE002308,5,174,91,D,D
SBE002309,5,174,117,B,B
SBE002310,5,174,122,D,C
SBE002311,5,174,89,A,A
