Club ID,Grade,Number of School Days,Number of Texas ACE Days,Math,English/Reading,Conduct
SOM002201,7,174,50,A,C,A
SOM002202,6,174,170,B,A,A
SOM002203,8,174,170,B,C,A
SOM002204,8,174,154,B,D,B
SOM002205,6,174,118,C,B,B
SOM002206,8,174,110,A,B,B
SOM002207,8,174,170,B,B,A
SOM002208,8,174,170,A,B,A
SOM002209,6,174,169,B,B,B
SOM002210,8,174,158,A,C,A
SOM002211,8,174,171,B,C,B
SOM002212,7,174,171,A,C,A
SOM002213,8,174,157,A,A,B
SOM002214,7,174,156,A,A,B
SOM002215,7,174,156,D,A,A
SOM002216,8,174,156,C,B,B
SOM002217,7,174,159,A,A,A
SOM002218,8,174,148,B,B,B
SOM002219,6,174,58,C,C,C
SOM002220,7,174,174,C,B,A
SOM002221,7,174,87,D,C,B
SOM002222,6,174,166,B,B,C
SOM002223,7,174,169,B,A,B
SOM002224,8,174,156,C,D,B
SOM002225,7,174,171,B,D,B
SOM002226,7,174,171,A,D,A
SOM002227,6,174,157,D,A,A
SOM002228,8,174,158,C,A,A
SOM002229,6,174,156,C,A,A
SOM002230,6,174,171,C,C,B
SOM002231,7,174,173,B,D,A
SOM002232,7,174,172,B,A,B
SOM002233,6,174,153,C,A,C
SOM002234,6,174,155,B,A,B
SOM002235,7,174,169,C,A,B
SOM002236,8,174,173,B,B,B
SOM002237,8,174,173,D,B,A
SOM002238,6,174,141,B,C,A
SOM002239,7,174,102,C,C,A
SOM002240,7,174,173,B,C,A
SOM002241,8,174,173,A,B,A
SOM002242,7,174,166,B,C,B
SOM002243,7,174,170,C,A,C
SOM002244,7,174,169,C,A,B
SOM002245,6,174,172,C,B,B
SOM002246,7,174,174,B,C,B
SOM002247,6,174,152,B,A,A
SOM002248,6,174,130,A,B,A
SOM002249,6,174,133,B,C,A
SOM002250,8,174,156,C,B,A
SOM002251,7,174,86,B,C,B
SOM002252,7,174,172,D,A,B
SOM002253,6,174,173,B,B,B
SOM002254,6,174,158,D,C,B
SOM002255,7,174,170,B,A,B
SOM002256,7,174,58,A,C,A
SOM002257,8,174,173,B,B,A
SOM002258,6,174,173,C,C,A
SOM002259,7,174,170,C,A,B
SOM002260,6,174,113,D,B,A
