Club ID,Grade ,Number of School Days,Number of Texas ACE Days,Math,English/Reading,Conduct
WV002201,3rd ,174,125,B,C,S
WV002202,3rd,174,141,C,C,N
WV002203,4th,174,152,C,C,S
WV002204,1st,174,153,D,C,S
WV002205,3rd ,174,141,B,C,E
WV002206,4th,174,147,B,C,E
WV002207,2nd,174,157,B,B,S
WV002208,4th,174,130,C,C,S
WV002209,2nd,174,111,C,C,S
WV002210,5th ,174,145,B,C,E
WV002211,3rd ,174,153,C,C,S
WV002212,4th,174,130,C,C,S
WV002213,1st,174,160,B,B,S
WV002214,3rd,174,137,A,A,S
WV002215,5th,174,136,A,A,E
WV002216,1st,174,146,B,B,S
WV002217,2nd ,174,130,B,C,S
WV002218,4th,174,145,C,C,S
WV002219,5th,174,151,C,C,S
WV002220,5th,174,142,A,B,E
WV002221,2nd,174,153,B,B,E
WV002222,3rd,174,136,A,B,E
WV002223,1st,174,147,A,A,E
WV002224,2nd ,174,133,B,B,S
WV002225,1st,174,149,B,B,E
WV002226,4th,174,138,C,C,E
WV002227,2nd,174,160,C,C,E
WV002228,2nd,174,130,C,F,S
WV002229,5th,174,147,A,A,E
WV002230,2nd,174,111,B,B,S
WV002231,2nd,174,144,F,F,S
WV002232,3rd,174,159,A,B,S
WV002233,3rd,174,161,C,C,S
WV002234,2nd,174,152,A,A,E
WV002235,1st,174,127,B,A,E
WV002236,3rd,174,148,B,B,S
WV002237,2nd,174,109,C,C,S
WV002238,5th,174,133,B,A,E
WV002239,1st,174,140,B,A,S
WV002240,5th,174,140,A,B,S
WV002241,3rd,174,164,B,B,S
WV002242,5th,174,126,A,A,E
WV002243,3rd,174,143,B,C,S
WV002244,4th,174,136,C,B,S
WV002245,2nd,174,153,B,B,E
WV002246,4th ,174,119,C,C,E
WV002247,4th,174,114,C,B,S
WV002248,4th,174,124,B,B,S
WV002249,2nd,174,105,B,B,S
WV002250,4th,174,101,C,C,S
WV002251,2nd,174,126,C,C,S
WV002252,4th,174,163,B,B,E
WV002253,1st,174,132,B,C,S
WV002254,1st,174,127,A,C,E
WV002255,4th,174,139,A,A,E
WV002256,4th,174,147,C,C,E
WV002257,5th,174,112,C,A,S
WV002258,5th,174,117,B,B,E
WV002259,3rd,174,119,B,B,S
WV002260,3rd,174,149,C,C,U
