Comet ID,Club ID,Grade Level,Math,English/Reading,Conduct,ACE Days Attended
1852476,WW002301,1,F,F,S,155
1845036,WW002302,1,B,B,S,146
1845043,WW002303,1,B,B,S,146
1852750,WW002304,1,F,F,S,155
1845593,WW002405,1,A,B,S,155
1845028,WW002406,1,B,B,E,156
1845137,WW002407,1,B,B,S,154
1852737,WW002308,1,F,F,S,147
1852037,WW002309,1,A,B,S,152
1851854,WW002310,1,F,F,S,138
1851824,WW002311,1,A,A,E,143
1851843,WW002312,1,C,D,S,126
1845022,WW002313,1,A,D,E,149
1845042,WW002314,1,B,C,E,149
1845034,WW002315,1,D,B,S,135
1845031,WW002316,1,B,C,E,150
1845138,WW002317,1,C,F,S,152
1842371,WW002318,1,A,B,E,131
1855241,WW002319,1,A,B,S,85
1855150,WW002320,1,B,B,S,81
1854921,WW002321,1,B,B,S,89
1845021,WW002322,1,B,B,S,42
1855363,WW002323,1,C,D,S,7
1855402,WW002324,1,F,F,S,64
1852486,WW002325,2,B,A,S,152
1840373,WW002326,2,C,B,S,155
1847725,WW002327,2,A,A,E,150
1847718,WW002328,2,C,D,U,136
1845335,WW002329,2,C,C,S,156
1842531,WW002330,2,C,C,S,153
1840622,WW002331,2,B,B,S,145
1847723,WW002332,2,D,B,S,45
1851839,WW002333,2,B,C,E,155
1840565,WW002334,2,A,A,S,157
1842531,WW002335,2,B,B,S,150
1851834,WW002336,2,A,B,S,154
1840454,WW002337,2,A,C,S,157
1852701,WW002338,2,A,A,S,126
1842437,WW002339,2,B,B,S,139
1840652,WW002340,2,C,B,S,155
1855366,WW002341,2,B,B,S,64
1842285,WW002342,2,C,B,S,155
1845045,WW002343,2,F,D,S,51
1854878,WW002344,2,B,B,S,80
1845149,WW003445,2,A,A,S,150
1854898,WW002346,2,C,B,S,70
1847707,WW002347,2,B,C,S,42
1840455,WW002348,2,C,D,S,156
1845044,WW002349,2,D,C,S,155
1845041,WW002350,2,A,C,S,154
1842430,WW002351,2,B,B,S,84
1851852,WW002352,2,B,B,E,152
1855403,WW002353,2,C,B,S,75
1841040,WW002354,2,C,B,S,58
1855940,WW002355,2,B,A,S,32
1855681,WW002356,2,F,F,E,23
1837027,WW002357,3,B,C,S,152
1840459,WW002358,3,A,B,S,156
1840655,WW002359,3,B,B,E,157
1852036,WW002360,3,A,A,S,156
1839018,WW002361,3,D,D,S,156
1852460,WW002362,3,D,D,S,157
1851853,WW002363,3,D,D,S,151
1839238,WW002364,3,B,S,S,156
1838202,WW002365,3,C,D,S,154
1840458,WW002366,3,A,B,S,156
1851833,WW002367,3,B,B,S,152
1845905,WW002368,3,B,B,S,150
1840375,WW002369,3,B,B,S,156
1854645,WW002370,3,C,B,S,93
1855153,WW002371,3,C,D,S,84
1833763,WW002372,3,A,A,E,87
1855380,WW002373,3,B,D,E,65
1855466,WW002374,3,A,A,S,34
1852814,WW002375,4,C,C,S,88
1836316,WW002376,4,C,D,S,157
1827211,WW002377,4,F,D,N,153
1840467,WW002378,4,A,D,S,153
1852736,WW002379,4,B,B,S,63
1845601,WW002380,4,B,B,E,151
1846579,WW002381,4,B,B,E,146
1837140,WW002382,4,A,B,E,156
1837139,WW002383,4,B,C,S,156
1827056,WW002384,4,B,B,S,68
1840994,WW002385,4,C,B,E,155
1840995,WW002386,4,A,B,E,154
1827237,WW002387,4,B,B,S,149
1838819,WW002388,4,A,B,S,132
1837552,WW002389,4,B,A,S,156
1827218,WW002390,4,B,B,E,155
1850883,WW002391,4,A,A,E,152
1852765,WW002392,4,B,B,S,152
1845076,WW002393,4,A,A,E,151
1852754,WW002394,4,A,A,E,157
1840657,WW002395,4,A,B,S,156
1838877,WW002396,4,A,B,E,72
1855328,WW002397,4,A,A,E,77
1848403,WW002398,5,B,B,S,137
1855367,WW002399,4,B,C,S,65
1855381,WW0023100,4,B,B,S,63
1839340,WW0023101,4,A,B,S,40
1838802,WW0023102,4,C,D,S,52
1855876,WW0023103,4,B,B,E,15
1838795,WW0023104,5,B,B,S,53
1831793,WW0023105,5,A,B,E,155
1851832,WW0023106,5,B,B,S,154
1833769,WW0023107,5,A,A,E,155
1827527,WW0023108,5,B,B,N,60
1837469,WW0023109,5,B,B,N,135
1851842,WW0023110,5,B,B,E,153
1837239,WW0023111,5,A,A,E,113
1855375,WW0023112,5,B,B,E,13
1826890,WW0023113,5,C,D,S,157
1827041,WW0023114,5,B,B,S,130
1851836,WW0023115,5,A,B,E,154
1833925,WW0023116,5,B,D,E,87
1840413,WW0023117,5,A,A,E,61
1855465,WW0023118,5,B,D,E,59
1826892,WW0023119,5,A,A,E,68
1855682,WW0023120,5,A,B,E,41
